A A Mamun : professor, nuclear physicist, biochemist
Andy Bell (psychologist) : cognitive scientist, psychologist, social sciences writer
Andy Biersack : record producer, songwriter, guitarist
Andy Chanley : autobiographer, activist, novelist
Andy Comeau : actres, fictional scientist, producer
Andy Devine : producer, actres, novelist
Andy Dick : fictional scientist, autobiographer, producer
Andy Douglas : professional wrestler, mixed martial artist, martial artist
Andy Griffith : producer, novelist, actres
Andy Houts : fictional scientist, video game actor, radio actor
Andy Linden (actor) : video game actor, fictional scientist, radio actor
Andy Luotto : short story writer, producer, screenwriter
Andy Milligan : fictional scientist, short story writer, autobiographer
Andy Milonakis : rapper, record producer, producer
Andy Mullins : video game actor, voice actor, voice actress
Andy Ologun : martial artist, mixed martial artist, professional wrestler
Andy Pessoa : fictional scientist, novelist, musical theatre actor
Andy Samberg : producer, actres, musical theatre actor
Andy Samuel : short story writer, fictional scientist, playwright
Andy San Dimas : pornographic film actor, producer, rapper
Andy Schmookler : short story writer, essayist, social sciences writer
Andy Stewart (musician) : songwriter, record producer, singer-songwriter
Andy Sturgeon : horticulturists and gardener, landscape architect, autobiographer
Andy Thompson (theater professional) : musical theatre actor, actres, producer
Andy Wear : musical theatre actor, actres, radio actor
Andy Wellings : social sciences writer, computer scientist, biographer
Andy Whitfield : autobiographer, memoirist, biographer
Andy Wong : actres, playwright, television actor
Andy Xie : economics writer, social sciences writer, autobiographer
Ane Dahl Torp : stage actress, musical theatre actress, autobiographer
Anecy Rocha : telenovela actress, soap opera actress, film actress
Aneesur Rahman : physical chemist, physicist, theoretical physicist
Aneirin Hughes : musical theatre actor, musical theatre actress, radio actor
Anel Sudakevich : silent film actress, silent film actor, producer
Ang Ching Hui : film actor, television personality, television actress
Ang It-hong : singer-songwriter, producer, songwriter
Ang Ui-jin : sinologist, orientalist, essayist
Angad Bedi : producer, model, director
Angana Bose : playwright, dancer, telugu actor
Angee Hughes : short story writer, video game actor, television
Angel Agache : memoirist, autobiographer, historian
Angel Baffard : genealogist, memoirist, biographer
Angel Coulby : actres, fictional scientist, soap opera actor
Angel Kelly : pornographic film actor, record producer, novelist
Angel Orsini : professional wrestler, mixed martial artist, martial artist
Angel Parker : actres, video game actor, fictional scientist
Angel Salvatierra : medical researcher, physician, neuroscientist
Angel Tompkins : short story writer, musical theatre actress, autobiographer
Angel Wainaina : autobiographer, activist, record producer
Angel Wong : producer, film actor, television actor
Angela Aames : fictional scientist, producer, director
Angela Baddeley : actres, musical theatre actress, musical theatre actor
Angela Barnes : radio actor, comedian, autobiographer
Angela Belcher : fictional scientist, chemist, autobiographer
Angela Brunner : memoirist, autobiographer, biographer
Angela Davis : autobiographer, short story writer, memoirist
Angela Dohrmann : television personality, actres, television presenter
Angela Fong : professional wrestler, martial artist, model
Angela Galuppo : actres, video game actor, musical theatre actor
Angela Goethals : actres, producer, musical theatre actress
Angela Jones : short story writer, novelist, fictional scientist
Angela Jonsson : model, autobiographer, author
Angela K. Wilson : physical chemist, national academy, neuroscientist
Angela Lansbury : actres, musical theatre actress, musical theatre actor
Angela Lanza (actress) : actres, hispanic and latino american actress, producer
Angela Luce : film actress, opera singer, stage actress
Angela McGlowan : attorney, autobiographer, entrepreneur
Angela Merkel : prime minister, president, autobiographer
Angela Nissel : short story writer, autobiographer, essayist
Angela Rockwood : autobiographer, short story writer, fictional scientist
Angela Salloker : silent film actress, silent film actor, radio actor
Angela Saunders : actres, autobiographer, short story writer
Angela Schanelec : filmmaker, director, producer
Angela Stevens : comedian, actres, fictional pseudoscientist
Angela Summers : pornographic film actor, producer, singer-songwriter
Angela Thorne : radio actress, radio actor, actres
Angela Tong : actres, actress, television actor
Angela Watson : actres, fictional scientist, autobiographer
Angela Winkler : playwright, pianist, dramatist
Angela Wynter : musical theatre actor, soap opera actress, musical theatre actress
Angelababy : actres, autobiographer, actress
Angelareign : songwriter, singer-songwriter, record producer
Angeli Nicole Sanoy : comedian, television actress, actress
Angelica Barcelo : comedian, television actress, actress
Angelica Bridges : actres, voice actress, singer-songwriter
Angelica Costello : pornographic film actor, producer, novelist
Angelica Sin : pornographic film actor, film actor, actor
Angelika Schrobsdorff : playwright, dramatist, novelist
Angelina Armani : pornographic film actor, actres, film actor
Angelina Valentine : pornographic film actor, film actor, actress
Angelique Morgan : fictional scientist, short story writer, actres
Angelita Helena Maria de Silva Ferro : novelist, fictional scientist, autobiographer
Angelle Brooks : actres, fictional scientist, producer
Angelo Angeli : physiologist, sculptor, engraver
Angelo Castro, Jr. : comedian, producer, autobiographer
Angelo Del Boca : autobiographer, art historian, novelist
Angelo F. Coniglio : short story writer, autobiographer, memoirist
Angelo Fierro : actres, short story writer, musical theatre actress
Angelo Infanti : novelist, autobiographer, film actress
Angelo Mai : theologian, scholar, philologist
Angelo Muscat : short story writer, fictional scientist, comedian
Angelo Rossitto : fictional scientist, actres, short story writer
Angelo Russo : film actor, film actress, stage actress
Angelo Sabino : philosopher, scholar, theologian
Angelo Sala : art historian, theologian, philosopher
Angelo Traina : autobiographer, theologian, philologist
Angelyne : producer, record producer, singer-songwriter
Angharad Rees : autobiographer, playwright, novelist
Angie Dickinson : actres, fictional scientist, autobiographer
Angie Everhart : actres, musical theatre actress, fictional scientist
Angie Greenup : comedian, television personality, record producer
Angie Harmon : actres, fictional scientist, autobiographer
Angie Stone : record producer, songwriter, singer-songwriter
Angie Tsang : film actor, television actor, actor
Angie Vu Ha : actres, songwriter, record producer
Angioletta Coradini : astronomer, physical chemist, geophysicist
Angkhana Phanprateep : voice actress, voice actor, video game actor
Angna Enters : short story writer, novelist, autobiographer
Angry Anderson : autobiographer, biographer, memoirist
Angus Ellis Taylor : cognitive scientist, systems scientist, mathematician
Angus Finlay Hutton : autobiographer, ornithologist, explorer
Angus Konstam : autobiographer, explorer, military historian
Angus Lewis Macdonald : autobiographer, memoirist, biographer
Angus MacKay (actor) : radio actor, fictional scientist, autobiographer
Angus MacVicar : short story writer, novelist, fictional scientist
Angus Macfadyen : actres, radio actor, fictional scientist
Angus Macnab : autobiographer, diarist, biographer
Angus Sampson : fictional scientist, actres, video game actor
Angus Scrimm : fictional scientist, autobiographer, producer
Angus Stewart : autobiographer, memoirist, gardener
Angus Sutherland (actor) : video game actor, producer, musical theatre actor
Angus T. Jones : autobiographer, musical theatre actor, actres
Angus Wright (actor) : radio actor, musical theatre actor, playwright
Anh Duong : short story writer, photographer, autobiographer
Anh Tuan Dinh-Xuan : autobiographer, neuroscientist, medical researcher
Ania Pieroni : fictional pseudoscientist, autobiographer, memoirist
Anibal Quijano : sociologist, philosopher, geographer
Anil Aggrawal : neuroscientist, intellectual historian, pseudoscientist
Anil Chatterjee : film director, telugu actor, singer
Anil Dhawan : telugu actor, film director, director
Anil K. Bera : systems scientist, communication scholar, computer scientist
Anil Kapoor : telugu actor, film director, director
Anil Kumar Bhattacharya : statistician, economist, philosopher
Anil Verma : communication scholar, systems scientist, social sciences writer
Anil Yadav : autobiographer, founder, novelist
Anilza Leoni : telenovela actress, soap opera actress, telenovela actor
Anindita Bose : playwright, film director, essayist
Anirudh Agarwal : telugu actor, film director, film producer
Anirudh Dave : soap opera actor, soap opera actress, film director
Anirudh Singh : prime minister, autobiographer, memoirist
Anis Ahmad : international relations scholar, scholar, president
Anissa Jones : fictional scientist, short story writer, actres
Anita Barone : actres, musical theatre actor, producer
Anita Berber : autobiographer, novelist, short story writer
Anita Briem : autobiographer, actres, musical theatre actor
Anita Darian : songwriter, producer, pianist
Anita Dobson : musical theatre actress, musical theatre actor, actres
Anita Ekberg : director, autobiographer, actres
Anita Finlay : fictional scientist, autobiographer, novelist
Anita Guha : telugu actor, autobiographer, film director
Anita Gutwell : film producer, film actor, novelist
Anita Hendrie : short story writer, musical theatre actress, autobiographer
Anita Inder Singh : international relations scholar, autobiographer, short story writer
Anita J. Prazmowska : economic historian, trotskyist, social scientist
Anita Kanwal : soap opera actor, television actress, telugu actor
Anita Kanwar : telugu actor, filmmaker, autobiographer
Anita King : autobiographer, short story writer, novelist
Anita L. Allen : autobiographer, short story writer, biographer
Anita Majumdar : autobiographer, novelist, memoirist
Anita Morris : actres, musical theatre actress, musical theatre actor
Anita Page : autobiographer, novelist, actres
Anita Pallenberg : autobiographer, essayist, record producer
Anita Rachlis : medical researcher, physiologist, neuroscientist
Anita Raj : telugu actor, film director, soap opera actor
Anita Rinaldi : pornographic film actor, autobiographer, actres
Anita Sharp-Bolster : fictional scientist, autobiographer, musical theatre actor
Anita Strindberg : film actress, film actor, composer
Anita Summers : autobiographer, social sciences writer, essayist
Anita Theodosia Moira Rodzianko King : novelist, autobiographer, short story writer
Anita Wall : musical theatre actress, director, actres
Anita Werner : musical theatre actor, film actress, director
Anita West : autobiographer, fictional scientist, musical theatre actress
Anita Yuen : film actor, television actor, film actress
Anja Feldmann : cognitive scientist, philosopher, computer scientist
Anja Jaenicke : playwright, novelist, stage actor
Anja Kling : director, dramatist, actres
Anja Knauer : television actor, film actress, stage actor
Anja Lundqvist : stage actress, silent film actress, autobiographer
Anjali Abrol : soap opera actress, telugu actor, soap opera actor
Anjali Devi : telugu actor, film director, film producer
Anjali Jay : actres, comedian, autobiographer
Anjali Patil : telugu actor, film director, producer
Anjali Sudhakar : telugu actor, film producer, film director
Anjana Basu : film director, director, producer
Anjana Bhowmick : telugu actor, indologist, film director
Anjana Sukhani : telugu actor, film director, director
Anjelah Johnson : producer, comedian, actres
Anjelica Huston : actres, fictional scientist, producer
Anjo Yllana : comedian, television actress, film actress
Anjori Alagh : telugu actor, film director, film actor
Anju Aravind : telugu actor, film director, film actor
Anju Mahendru : telugu actor, film director, soap opera actor
Anjul Nigam : soap opera actress, director, actres
Anjula Mutanda : fictional scientist, essayist, short story writer
Anjum Farooki : director, playwright, soap opera actress
Anke Ehlers : neuroscientist, psychologist, medical researcher
Ankita Sharma : soap opera actor, telugu actor, soap opera actress
Ankitha : telugu actor, film director, film producer
Anksa Kara : film actress, communication scholar, actres
Ankur Bhatia : film director, producer, playwright
Ankur Nayyar : soap opera actor, soap opera actress, television actor
Ankur Vikal : film director, film actor, short story writer
Anlaug Amanda Djupvik : autobiographer, astronomer, biographer
Ann B. Davis : actres, musical theatre actor, musical theatre actress
Ann Baker : radio actress, radio actor, actres
Ann Bannon : short story writer, novelist, autobiographer
Ann Belford Ulanov : short story writer, autobiographer, novelist
Ann Bishop (biologist) : physiologist, autobiographer, biographer
Ann Blyth : actres, novelist, musical theatre actress
Ann Brody : actres, producer, record producer
Ann Brunton Merry : dramatist, autobiographer, novelist
Ann C. Scales : autobiographer, essayist, memoirist
Ann Casey : professional wrestler, autobiographer, actres
Ann Charters : short story writer, essayist, novelist
Ann Christy : actres, short story writer, fictional scientist
Ann Cusack : actres, producer, radio actor
Ann Doran : actres, fictional scientist, short story writer
Ann Dowd : actres, autobiographer, producer
Ann Druyan : pseudoscientist, science writer, national academy
Ann Dunnigan : playwright, short story writer, novelist
Ann Duquesnay : songwriter, record producer, actres
Ann Dusenberry : actres, novelist, producer
Ann Dvorak : short story writer, autobiographer, novelist
Ann Forrest : producer, actres, novelist
Ann Gillis : actres, musical theatre actor, radio actor
Ann Hamilton (British actress) : musical theatre actor, producer, short story writer
Ann Hamilton (actress) : comedian, actres, television personality
Ann Harding : actres, short story writer, autobiographer
Ann Hood : short story writer, novelist, autobiographer
Ann Hui : autobiographer, novelist, filmmaker
Ann Hyland : short story writer, cultural anthropologist, record producer
Ann Jellicoe : autobiographer, biographer, short story writer
Ann Jillian : actres, musical theatre actress, fictional scientist
Ann Lee (professor) : social sciences writer, economics writer, international relations scholar
Ann Little : novelist, short story writer, producer
Ann M. Blair : philosopher, intellectual historian, sociologist
Ann Magnuson : record producer, producer, short story writer
Ann Maire Horan : autobiographer, memoirist, diarist
Ann Marie Rios : pornographic film actor, singer-songwriter, autobiographer
Ann Marvet : ecologist, agronomist, neuroscientist
Ann Miller : actres, autobiographer, songwriter
Ann Morgan Guilbert : radio actor, musical theatre actor, musical theatre actress
Ann Paludan : autobiographer, memoirist, short story writer
Ann Petersen : actres, stage actress, silent film actress
Ann Petry : novelist, essayist, autobiographer
Ann Prentiss : fictional scientist, actres, television personality
Ann Robinson : actres, producer, fictional scientist
Ann Rutherford : actres, short story writer, autobiographer
Ann Savoy : songwriter, record producer, guitarist
Ann Sheridan : short story writer, actres, novelist
Ann Shoemaker : actres, musical theatre actress, short story writer
Ann Shola Orloff : sociologist, social sciences writer, communication scholar
Ann Smyrner : composer, novelist, silent film actress
Ann Sothern : actres, musical theatre actress, producer
Ann Stephens : actres, radio actor, autobiographer
Ann Street Barry : playwright, short story writer, autobiographer
Ann Taylor Allen : social sciences writer, sociologist, essayist
Ann Thongprasom : actress, actres, producer
Ann Thwaite : novelist, autobiographer, short story writer
Ann Todd : actres, short story writer, autobiographer
Ann Trevor : radio actor, stage actress, radio actress
Ann Trindade : children's writer, author, short story writer
Ann Turkel : autobiographer, actres, novelist
Ann Tyrrell : actres, radio actor, fictional scientist
Ann Wedgeworth : actres, short story writer, fictional scientist
Ann Williams (actress) : autobiographer, novelist, musical theatre actress
Ann Williams (historian) : king, archbishop, medievalist
Ann-Kathrin Kramer : playwright, novelist, art historian
Ann-Margret : actres, producer, songwriter
Ann-Mari Adamsson : silent film actress, actres, record producer
Ann-Marie Ivars : autobiographer, folklorist, biographer
Anna Acton : soap opera actress, radio actor, musical theatre actress
Anna Angelina Wolfers : film actress, autobiographer, stage actress
Anna Anka : autobiographer, memoirist, diarist
Anna Atkins : autobiographer, short story writer, pseudoscientist
Anna Bagriana : ethnographer, translator, linguist
Anna Belknap : actres, producer, fictional scientist
Anna Blackburne : ornithologist, naturalist, zoologist
Anna Blomberg : record producer, fictional pseudoscientist, actres
Anna Bonaiuto : producer, film actor, singer-songwriter
Anna Brecon : musical theatre actor, musical theatre actress, actres
Anna Camp : actres, producer, fictional scientist
Anna Campori : opera singer, stage actor, actres
Anna Chandler : producer, musical theatre actress, novelist
Anna Chlumsky : actres, producer, fictional scientist
Anna Daly : autobiographer, short story writer, television presenter
Anna Deavere Smith : short story writer, novelist, playwright
Anna Dereszowska : stage actress, film actress, film actor
Anna Dodge : autobiographer, novelist, short story writer
Anna Donald : autobiographer, memoirist, biographer
Anna Dostoyevskaya : autobiographer, memoirist, novelist
Anna Drijver : actres, playwright, autobiographer
Anna Faris : actres, producer, novelist
Anna Fegi : comedian, singer-songwriter, producer
Anna Foglietta : hispanic and latino american actress, radio actress, voice actress
Anna Friel : actres, radio actress, musical theatre actor
Anna George : actres, fictional scientist, voice actress
Anna Green Winslow : essayist, short story writer, novelist
Anna Held : autobiographer, novelist, playwright
Anna Henriques-Nielsen : film producer, stage actress, silent film actor
Anna Hruby : television personality, actres, musical theatre actor
Anna Hutchison : actres, television actress, fictional scientist
Anna Hutsol : autobiographer, memoirist, biographer
Anna Ishibashi : voice actor, voice actress, pornographic film actor
Anna J. Harrison : chemist, physical chemist, national academy
Anna Jennings-Edquist : musical theatre actor, radio actor, soap opera actress
Anna Johnson Pell Wheeler : short story writer, novelist, biographer
Anna Karen Morrow : actres, radio actor, autobiographer
Anna Karlin : systems scientist, computer scientist, neuroscientist
Anna Keaveney : musical theatre actress, soap opera actress, radio actress
Anna Kingsford : novelist, autobiographer, biographer
Anna Komnene : emperor, king, autobiographer
Anna Lee : autobiographer, biographer, novelist
Anna Lee Waldo : short story writer, playwright, novelist
Anna Lehr : novelist, short story writer, serial killer
Anna Levinson : geneticist, biologist, physiologist
Anna Lindahl : stage actress, silent film actress, silent film actor
Anna Lomax Wood : autobiographer, folklorist, songwriter
Anna Louise Strong : autobiographer, memoirist, biographer
Anna Mae Routledge : actres, musical theatre actress, producer
Anna Magnani : actres, director, autobiographer
Anna Manahan : playwright, autobiographer, producer
Anna Mani : physicist, pseudoscientist, national academy
Anna Maria Alberghetti : actres, musical theatre actor, musical theatre actress
Anna Maria Horsford : actres, autobiographer, producer
Anna Maria Lenngren : autobiographer, biographer, diarist
Anna Maria Rizzoli : film actress, screenwriter, stage actress
Anna Maria Sandri : film actress, novelist, songwriter
Anna Maria de Bruyn : diarist, autobiographer, actres
Anna Massey : novelist, actres, playwright
Anna May Wong : autobiographer, novelist, short story writer
Anna McClean Bidder : autobiographer, president, novelist
Anna McGahan : novelist, autobiographer, producer
Anna Mercedes Morris : actres, producer, fictional scientist
Anna Morandi Manzolini : anatomist, pseudoscientist, autobiographer
Anna Mouglalis : film actress, memoirist, actres
Anna Neagle : actres, musical theatre actor, autobiographer
Anna Nicole Smith : autobiographer, fictional scientist, memoirist
Anna Ohura : pornographic film actor, autobiographer, fictional scientist
Anna Osmakowicz : stage actor, film actress, film actor
Anna Paquin : actres, autobiographer, fictional scientist
Anna Polony : stage actress, autobiographer, memoirist
Anna Q. Nilsson : autobiographer, short story writer, playwright
Anna Quayle : musical theatre actress, musical theatre actor, short story writer
Anna Reid : essayist, autobiographer, diarist
Anna Renzi : opera singer, composer, short story writer
Anna Romantowska : autobiographer, director, memoirist
Anna Rose Kessler Moore : songwriter, singer-songwriter, autobiographer
Anna Samokhina : fictional scientist, autobiographer, memoirist
Anna Savva : soap opera actor, producer, television actress
Anna Schwartz : social sciences writer, economics writer, autobiographer
Anna Seniuk : diarist, autobiographer, playwright
Anna Siewierska : cognitive scientist, autobiographer, philologist
Anna Silk : actres, fictional scientist, video game actor
Anna Silvetti : telenovela actress, telenovela actor, film actress
Anna Skellern : actres, comedian, producer
Anna Slotky : producer, actres, fictional scientist
Anna Slynko : film actress, actres, autobiographer
Anna Sophia Folch : telenovela actress, soap opera actress, telenovela actor
Anna Sten : fictional scientist, autobiographer, biographer
Anna Stetsenko : psychologist, cognitive scientist, sociologist
Anna Suvorova : indologist, orientalist, scholar
Anna Swanwick : novelist, short story writer, biographer
Anna Synodinou : prime minister, playwright, translator
Anna Szatkowska : autobiographer, memoirist, diarist
Anna Thalbach : stage actress, stage actor, film actress
Anna Thomson : actres, musical theatre actress, novelist
Anna Torv : actres, musical theatre actress, fictional scientist
Anna Townsend : actres, fictional scientist, radio actress
Anna Tyszkiewicz : noble, autobiographer, essayist
Anna Vainikka : cognitive scientist, psychologist, sociologist
Anna Van Hooft : fictional scientist, actres, video game actor
Anna Visscher : art historian, geographer, engraver
Anna Vissi : record producer, songwriter, singer
Anna Wierzbicka : cognitive scientist, philosopher, logician
Anna Wing : autobiographer, playwright, biographer
Anna Winlock : pseudoscientist, short story writer, autobiographer
Anna-Katharina Samsel : singer-songwriter, soap opera actor, pianist
Anna-Lena Strindlund : film actress, stage actress, television actress
Anna-Lisa Baude : director, actres, film actress
Anna-Marie Wayne : autobiographer, musical theatre actor, singer-songwriter
AnnaLynne McCord : actres, fictional scientist, producer
AnnaSophia Robb : actres, autobiographer, producer
Annabel Brooks : actres, autobiographer, short story writer
Annabel Leventon : radio actress, radio actor, playwright
Annabel Walker : intellectual historian, pseudoscientist, editor
Annabella (actress) : autobiographer, actres, memoirist
Annabella Incontrera : film actress, film actor, opera singer
Annabelle Wallis : actres, fictional scientist, stage actress
Annabelle Williams : autobiographer, biographer, memoirist
Annabeth Gish : actres, producer, autobiographer
Annalee Jefferies : musical theatre actress, musical theatre actor, actres
Annaleigh Ashford : musical theatre actress, actres, musical theatre actor
Annalisa Ericson : autobiographer, memoirist, playwright
Annalise Basso : actres, musical theatre actor, autobiographer
Annalise Braakensiek : television presenter, autobiographer, songwriter
Annamalai Ramanathan : mathematician, physicist, autobiographer
Annapoorna (actress) : telugu actor, film director, cinematographer
Anne Alvaro : novelist, short story writer, autobiographer
Anne Archer : actres, musical theatre actress, novelist
Anne B. Young : neuroscientist, cognitive scientist, medical researcher
Anne Bancroft : actres, musical theatre actress, producer
Anne Baxter : actres, fictional scientist, novelist
Anne Born : short story writer, autobiographer, memoirist
Anne Bragance : novelist, memoirist, art historian
Anne Brewis : horticulturists and gardener, ecologist, illustrator
Anne Brochet : stage actress, film actress, stage actor
Anne Carlisle : actres, producer, playwright
Anne Carson : short story writer, novelist, autobiographer
Anne Cornwall : actres, short story writer, biographer
Anne Dell : autobiographer, memoirist, biographer
Anne Dudek : fictional scientist, actres, musical theatre actress
Anne Edwards : autobiographer, novelist, memoirist
Anne Elizabeth Ball : horticulturists and gardener, botanist, biologist
Anne Firor Scott : short story writer, essayist, novelist
Anne Forrester : autobiographer, memoirist, president
Anne Francis : fictional scientist, actres, short story writer
Anne Frank : autobiographer, memoirist, biographer
Anne Glover (biologist) : geneticist, national academy, president
Anne Gwynne : short story writer, fictional scientist, actres
Anne Haddy : television presenter, autobiographer, radio actor
Anne Halkett : short story writer, autobiographer, memoirist
Anne Haney : actres, novelist, comedian
Anne Hathaway : actres, autobiographer, musical theatre actor
Anne Heche : fictional scientist, actres, autobiographer
Anne Helm : actres, radio actor, musical theatre actress
Anne Hendershott : autobiographer, social sciences writer, memoirist
Anne Hollingsworth Wharton : short story writer, autobiographer, novelist
Anne Holtsmark : autobiographer, biographer, memoirist
Anne Howard (actress) : actres, novelist, biographer
Anne Igartiburu : telenovela actress, telenovela actor, television actress
Anne Jackson : actres, short story writer, autobiographer
Anne Jeffreys : actres, musical theatre actor, radio actor
Anne Judson-Yager : actres, video game actor, director
Anne King Gregorie : autobiographer, novelist, author
Anne Kristen : actres, radio actor, radio actress
Anne LaBastille : autobiographer, executive office, short story writer
Anne Lacey : radio actress, musical theatre actor, playwright
Anne Larigauderie : ecologist, planetary scientist, geographer
Anne Le Ny : stage actress, film actress, television actress
Anne Lockhart (actress) : actres, musical theatre actor, songwriter
Anne Lonnberg : actres, fictional scientist, autobiographer
Anne Louise Hassing : novelist, essayist, stage actress
Anne Macaulay : pseudoscientist, autobiographer, biographer
Anne Marie Howard : actres, television personality, musical theatre actress
Anne Marit Jacobsen : jazz musician, radio actor, autobiographer
Anne McLellan : autobiographer, prime minister, biographer
Anne Meara : autobiographer, comedian, musical theatre actor
Anne Morrow Lindbergh : autobiographer, biographer, author
Anne Mulder : civil servant, prime minister, memoirist
Anne Murray : singer-songwriter, songwriter, record producer
Anne Phelan : fictional scientist, actres, autobiographer
Anne Pitoniak : musical theatre actor, actres, musical theatre actress
Anne Ramsay : actres, fictional scientist, musical theatre actress
Anne Ramsey : actres, producer, fictional scientist
Anne Reid : radio actor, radio actress, musical theatre actress
Anne Revere : actres, novelist, autobiographer
Anne Rogers : musical theatre actor, musical theatre actress, songwriter
Anne Rose Brooks : short story writer, novelist, radio actor
Anne Salmond : explorer, editor, biographer
Anne Sargent : producer, musical theatre actress, radio actor
Anne Schaefer : musical theatre actress, novelist, actres
Anne Schedeen : actres, soap opera actor, soap opera actress
Anne Scott-Pendlebury : actres, producer, record producer
Anne Seymour (actress) : musical theatre actor, musical theatre actress, actres
Anne Sharp : playwright, autobiographer, conductor
Anne Simon : virologist, molecular biologist, medical researcher
Anne Sjerp Troelstra : logician, systems scientist, intellectual historian
Anne Stine Ingstad : explorer, art historian, autobiographer
Anne Suzuki : voice actor, voice actress, actor
Anne Swithinbank : gardener, horticulturists and gardener, television presenter
Anne Tenney : soap opera actress, musical theatre actress, fictional scientist
Anne Treisman : cognitive scientist, essayist, psychologist
Anne Tremko : actres, video game actor, fictional scientist
Anne Twomey : actres, short story writer, autobiographer
Anne Vernon : short story writer, playwright, novelist
Anne Vondeling : social sciences writer, prime minister, autobiographer
Anne Vyalitsyna : autobiographer, model, actres
Anne Walker (astronomer) : short story writer, pseudoscientist, novelist
Anne Warner (scientist) : physiologist, national academy, cognitive scientist
Anne Wiazemsky : novelist, filmmaker, stage actress
Anne Wojcicki : entrepreneur, autobiographer, geneticist
Anne-Marie Albiach : essayist, novelist, memoirist
Anne-Marie Duff : actres, musical theatre actress, stage actress
Anne-Marie Johnson : actres, musical theatre actress, musical theatre actor
Anne-Robert-Jacques Turgot, Baron de Laune : memoirist, autobiographer, philosopher
Anneila Sargent : social sciences writer, president, national academy
Anneli Cahn Lax : essayist, rabbi, mathematician
Anneli Drecker : singer-songwriter, record producer, musician
Anneli Granget : pianist, playwright, composer
Anneli Sauli : actres, stage actor, autobiographer
Annemarie Schimmel : orientalist, philosopher, theologian
Annemarie Steinsieck : playwright, silent film actor, composer
Annemarie Wendl : actres, diarist, founder
Annemieke Verdoorn : singer-songwriter, record producer, singer
Annet Mahendru : autobiographer, actres, biographer
Annet Malherbe : actres, producer, novelist
Annette Badland : radio actor, soap opera actor, radio actress
Annette Bening : actres, musical theatre actress, musical theatre actor
Annette Charles : musical theatre actress, actres, musical theatre actor
Annette Ferguson : astronomer, national academy, science writer
Annette Funicello : songwriter, producer, actres
Annette Haven : pornographic film actor, short story writer, autobiographer
Annette Melton : record producer, producer, autobiographer
Annette Nijs : civil servant, minister, indologist
Annette O'Toole : musical theatre actress, fictional scientist, producer
Annette Salmeen : olympic gold medalist, former world record-holder, autobiographer
Annette Schwarz : pornographic film actor, producer, novelist
Annette Shun Wah : autobiographer, playwright, singer-songwriter
Annette Stensson-Fjordefalk : musical theatre actor, film actress, stage actress
Annibale Caro : autobiographer, philosopher, translator
Annibale Pio Fabri : opera singer, composer, organist
Annick Alane : stage actress, stage actor, film actress
Annick Van Dam : television presenter, television personality, actres
Annie (actress) : telugu actor, film director, director
Annie Birgit Garde : autobiographer, silent film actor, biographer
Annie Bos : actres, record producer, singer
Annie Burgstede : fictional scientist, actres, producer
Annie Cordy : stage actress, film actress, stage actor
Annie Corley : actres, fictional scientist, musical theatre actress
Annie Cruz : pornographic film actor, comedian, producer
Annie Dale Biddle Andrews : inventor, art historian, philosopher
Annie Dillard : short story writer, novelist, essayist
Annie Easley : short story writer, executive office, autobiographer
Annie Girardot : stage actress, stage actor, film actress
Annie Hulley : soap opera actress, musical theatre actress, radio actress
Annie Ilonzeh : actres, video game actor, fictional scientist
Annie Jack : autobiographer, short story writer, novelist
Annie Jump Cannon : short story writer, autobiographer, national academy
Annie Lee (actress) : producer, filmmaker, actres
Annie Liu : film actress, film actor, television actor
Annie McElwain : television personality, producer, actres
Annie Meinertzhagen : explorer, autobiographer, novelist
Annie Montague Alexander : autobiographer, novelist, short story writer
Annie Morrill Smith : autobiographer, geographer, short story writer
Annie Palmen : singer, singer-songwriter, comedian
Annie Parisse : actres, musical theatre actress, short story writer
Annie Pixley : record producer, playwright, fictional scientist
Annie Potts : actres, musical theatre actor, producer
Annie Ross : record producer, songwriter, actres
Annie Russell : autobiographer, actres, record producer
Annie Ryan : singer-songwriter, musical theatre actor, songwriter
Annie Social : professional wrestler, fictional scientist, autobiographer
Annie Sprinkle : autobiographer, novelist, essayist
Annie Trumbull Slosson : explorer, essayist, autobiographer
Annie Von Behren : short story writer, autobiographer, playwright
Annie Wersching : actres, fictional scientist, musical theatre actor
Annie Whittle : record producer, producer, songwriter
Annie Wu (actress) : television actor, film actor, film actress
Annika Hallin : playwright, stage actress, film actress
Annis Gillie : medical doctor, autobiographer, memoirist
Annis Lee Wister : autobiographer, novelist, diarist
Annituuli Kasurinen : voice actress, video game actor, actres
Annu Kapoor : film director, telugu actor, film actor
Anny Ahlers : opera singer, stage actor, actres
Anoja Weerasinghe : filmmaker, short story writer, film actor
Anona Winn : producer, autobiographer, actres
Anoop Kumar : telugu actor, film director, singer
Anoop Trevedi : telugu actor, director, short story writer
Anouk Ferjac : musical theatre actor, film actress, novelist
Anouk Grinberg : musical theatre actress, stage actress, musical theatre actor
Anoush Ehteshami : international relations scholar, political scientist, prime minister
Anoushay Abbasi : film actress, filmmaker, film actor
Anousheh Ansari : entrepreneur, engineer, autobiographer
Anouska Hempel : novelist, short story writer, autobiographer
Anri Katsu : voice actor, voice actress, video game actor
Ansa Ikonen : playwright, novelist, musical theatre actress
Anselm Hollo : essayist, poet, critic
Anselm Strauss : sociologist, cognitive scientist, communication scholar
